Feature,Importance_Mean,Importance_Std
EXT_SOURCE_2,0.0008796318878753317,9.065965471247266e-05
EXT_SOURCE_3,0.0005772076158886197,0.00012280937580789488
EXT_SOURCE_1,0.00028779083947119146,5.5876429694282256e-05
AMT_CREDIT,0.0002373867941400598,8.13618587919071e-05
AMT_GOODS_PRICE,0.00023576085719392292,0.00015082701531803194
inst_DAYS_INSTALMENT_max,0.00012031933401618344,9.374199831164054e-05
bur_DAYS_CREDIT_max,0.00011381558623151378,9.111051965674339e-05
OWN_CAR_AGE,0.00011381558623151378,5.39262278320641e-05
inst_AMT_INSTALMENT_min,0.0001121896492853658,5.008835926946098e-05
NAME_EDUCATION_TYPE,0.0001105637123391734,9.163132077204717e-05
bur_DAYS_CREDIT_ENDDATE_max,9.918215371603755e-05,8.241110773442726e-05
bur_AMT_CREDIT_SUM_DEBT_mean,9.105246898518659e-05,8.360541848159631e-05
inst_AMT_PAYMENT_sum,8.454872120053914e-05,9.27781904472254e-05
inst_DAYS_ENTRY_PAYMENT_max,7.479309952356239e-05,7.422540175609515e-05
AGE_YEARS,7.31671625773811e-05,7.669529236017303e-05
DEF_30_CNT_SOCIAL_CIRCLE,6.503747784655233e-05,4.5409947624567234e-05
inst_DAYS_ENTRY_PAYMENT_sum,6.0159667008063966e-05,4.770954506650061e-05
inst_DAYS_ENTRY_PAYMENT_mean,5.36559192233943e-05,3.565958115776937e-05
inst_AMT_INSTALMENT_max,5.040404533107612e-05,8.859491553794011e-05
NAME_FAMILY_STATUS,4.877810838491703e-05,4.540994762455928e-05
DAYS_EMPLOYED,4.877810838489482e-05,0.0001221077564054909
CODE_GENDER,4.715217143874684e-05,8.399974865023633e-05
DAYS_REGISTRATION,4.715217143874684e-05,5.215685391719701e-05
bur_DAYS_ENDDATE_FACT_sum,4.5526234492587746e-05,1.5930863488176772e-05
REGION_RATING_CLIENT_W_CITY,4.064842365407717e-05,6.753023318308414e-05
AMT_ANNUITY,3.739654976175899e-05,0.00011148047878264993
bur_AMT_CREDIT_SUM_OVERDUE_mean,3.739654976174789e-05,3.7112700878062896e-05
bur_AMT_CREDIT_SUM_OVERDUE_sum,3.57706128155999e-05,9.755621676976746e-06
bur_AMT_CREDIT_SUM_OVERDUE_max,3.57706128155888e-05,3.621133514025965e-05
YEARS_BUILD_MODE,3.414467586942971e-05,1.1381558623148522e-05
bur_DAYS_ENDDATE_FACT_mean,3.414467586941861e-05,2.8581363236329967e-05
NAME_HOUSING_TYPE,3.251873892327062e-05,1.0283328163397682e-05
bur_AMT_CREDIT_SUM_LIMIT_max,3.251873892327062e-05,3.410594111408462e-05
ORGANIZATION_TYPE,3.251873892325952e-05,3.169534606379835e-05
bur_AMT_CREDIT_SUM_max,3.0892801977089326e-05,3.6682809530189254e-05
inst_AMT_PAYMENT_mean,2.7640928084771144e-05,6.4239943629226e-05
CNT_FAM_MEMBERS,2.276311724627167e-05,1.3007495569319904e-05
DEF_60_CNT_SOCIAL_CIRCLE,2.1137180300090373e-05,3.336143688711707e-05
inst_NUM_INSTALMENT_VERSION_sum,1.9511243353953488e-05,3.4720512014139474e-05
DAYS_ID_PUBLISH,1.9511243353953488e-05,9.93818629330994e-05
inst_DAYS_INSTALMENT_mean,1.9511243353942388e-05,3.067811694406545e-05
FLAG_DOCUMENT_3,1.9511243353931285e-05,6.413697843459319e-05
inst_count,1.7885306407783297e-05,2.235293739309259e-05
bur_AMT_CREDIT_SUM_DEBT_min,1.7885306407772194e-05,3.1233228805580884e-05
LIVINGAPARTMENTS_MEDI,1.6259369461624205e-05,1.2594453428958e-05
bur_AMT_CREDIT_SUM_DEBT_max,1.6259369461613106e-05,3.332179167182923e-05
inst_NUM_INSTALMENT_VERSION_min,1.6259369461613106e-05,1.0283328163397682e-05
COMMONAREA_MEDI,1.4633432515454015e-05,1.1381558623148524e-05
LIVINGAREA_MEDI,1.4633432515442912e-05,1.3506046636620038e-05
FLAG_OWN_REALTY,1.463343251543181e-05,4.87781083847727e-06
NONLIVINGAPARTMENTS_MODE,1.3007495569283822e-05,9.755621676976744e-06
DAYS_BIRTH,1.1381558623124732e-05,9.918215371607631e-05
ELEVATORS_AVG,1.138155862311363e-05,1.9306931510712235e-05
AMT_REQ_CREDIT_BUREAU_MON,1.138155862311363e-05,7.450979130999368e-06
LANDAREA_MODE,9.755621676965643e-06,1.0785245566395415e-05
FLOORSMAX_MEDI,9.755621676943439e-06,2.641834838832568e-05
NAME_CONTRACT_TYPE,8.12968473079545e-06,4.317161129489363e-05
BASEMENTAREA_MODE,8.129684730784347e-06,1.0907116616245248e-05
AMT_REQ_CREDIT_BUREAU_YEAR,6.50374778463636e-06,1.6581368432738642e-05
COMMONAREA_MODE,6.50374778463636e-06,7.965431744057791e-06
LIVINGAREA_MODE,6.5037477846252575e-06,2.5397947013669724e-05
LIVE_CITY_NOT_WORK_CITY,4.87781083847727e-06,7.450979130999368e-06
NONLIVINGAREA_AVG,4.87781083847727e-06,7.450979130999368e-06
bur_AMT_CREDIT_SUM_mean,4.877810838455066e-06,3.491034673690222e-05
YEARS_BEGINEXPLUATATION_MODE,4.877810838443964e-06,3.173702306547657e-05
YEARS_BEGINEXPLUATATION_MEDI,3.251873892273771e-06,3.472051201415819e-05
FLOORSMIN_AVG,1.62593694615909e-06,4.87781083847727e-06
FLOORSMIN_MODE,1.62593694615909e-06,4.87781083847727e-06
LANDAREA_MEDI,1.6259369461368856e-06,1.6975280082139457e-05
COMMONAREA_AVG,1.625936946114681e-06,2.113718030016553e-05
inst_LATE_FLAG_min,0.0,0.0
inst_NUM_INSTALMENT_NUMBER_min,0.0,0.0
bur_CNT_CREDIT_PROLONG_max,0.0,0.0
bur_CNT_CREDIT_PROLONG_sum,0.0,0.0
inst_LATE_FLAG_max,0.0,0.0
FLAG_DOCUMENT_21,0.0,0.0
FLAG_DOCUMENT_17,0.0,0.0
FLAG_DOCUMENT_19,0.0,0.0
FLAG_DOCUMENT_20,0.0,0.0
FLAG_DOCUMENT_11,0.0,0.0
AGE_BIN,0.0,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0.0
EMERGENCYSTATE_MODE,0.0,0.0
FLAG_DOCUMENT_2,0.0,0.0
HOUSETYPE_MODE,0.0,0.0
FLAG_DOCUMENT_14,0.0,0.0
FLAG_DOCUMENT_12,0.0,0.0
FLAG_DOCUMENT_5,0.0,0.0
FLAG_DOCUMENT_4,0.0,0.0
NONLIVINGAREA_MEDI,0.0,0.0
FONDKAPREMONT_MODE,0.0,0.0
BASEMENTAREA_MEDI,0.0,0.0
REG_REGION_NOT_LIVE_REGION,0.0,0.0
NONLIVINGAPARTMENTS_AVG,0.0,0.0
REG_REGION_NOT_WORK_REGION,0.0,0.0
CNT_CHILDREN,0.0,0.0
FLAG_CONT_MOBILE,0.0,0.0
FLAG_MOBIL,0.0,0.0
FLAG_DOCUMENT_10,0.0,0.0
FLAG_DOCUMENT_7,0.0,0.0
FLAG_DOCUMENT_6,0.0,0.0
bur_AMT_CREDIT_SUM_LIMIT_min,0.0,0.0
bur_CNT_CREDIT_PROLONG_min,0.0,0.0
bur_AMT_CREDIT_SUM_OVERDUE_min,0.0,0.0
FLAG_DOCUMENT_9,0.0,0.0
FLAG_DOCUMENT_8,0.0,0.0
ELEVATORS_MEDI,0.0,0.0
FLOORSMIN_MEDI,0.0,0.0
ENTRANCES_MEDI,0.0,0.0
REGION_RATING_CLIENT,-1.1102230246251566e-17,7.271411077505107e-06
inst_LATE_FLAG_sum,-3.3306690738754695e-17,1.2594453428958e-05
inst_PAYMENT_DELAY_min,-4.4408920985006264e-17,2.9085644310020427e-05
bur_DAYS_ENDDATE_FACT_max,-5.551115123125783e-17,6.624570764829978e-05
FLAG_EMAIL,-1.6259369461701922e-06,4.877810838510577e-06
ELEVATORS_MODE,-1.6259369461701922e-06,4.877810838510577e-06
NONLIVINGAPARTMENTS_MEDI,-1.6259369461701922e-06,4.877810838510577e-06
FLAG_EMP_PHONE,-1.6259369461701922e-06,4.877810838510577e-06
FLAG_DOCUMENT_15,-1.6259369461701922e-06,4.877810838510577e-06
inst_NUM_INSTALMENT_NUMBER_mean,-1.6259369462146012e-06,3.878464608840748e-05
inst_PAYMENT_DELAY_max,-1.6259369462146012e-06,3.7396549761806295e-05
bur_count,-1.6259369462146012e-06,3.288253973978454e-05
bur_AMT_CREDIT_SUM_sum,-1.6259369462146012e-06,5.2156853917187665e-05
APARTMENTS_AVG,-1.6259369462257033e-06,2.2352937393098242e-05
FLAG_DOCUMENT_13,-3.2518738923403843e-06,6.503747784680769e-06
inst_PAYMENT_DELAY_mean,-3.251873892351487e-06,4.4705874786159336e-05
WALLSMATERIAL_MODE,-3.251873892351487e-06,1.2167397970114925e-05
bur_DAYS_CREDIT_min,-3.251873892362589e-06,1.751187684223589e-05
OBS_30_CNT_SOCIAL_CIRCLE,-3.2518738923847934e-06,4.0354693741742296e-05
HOUR_APPR_PROCESS_START,-3.2518738923847934e-06,2.6014991138655075e-05
LIVE_REGION_NOT_WORK_REGION,-4.877810838510577e-06,7.450979131050245e-06
REG_CITY_NOT_WORK_CITY,-4.877810838521679e-06,1.0411076268537366e-05
ENTRANCES_MODE,-4.877810838532781e-06,2.0630827017321932e-05
DAYS_LAST_PHONE_CHANGE,-4.877810838543883e-06,2.725566982789631e-05
FLOORSMAX_MODE,-6.503747784680769e-06,1.0785245566445626e-05
NONLIVINGAREA_MODE,-8.129684730850961e-06,8.129684730850961e-06
bur_CNT_CREDIT_PROLONG_mean,-8.129684730862064e-06,1.0907116616270074e-05
inst_AMT_DIFF_max,-8.129684730862064e-06,1.666089583594441e-05
APARTMENTS_MODE,-8.129684730862064e-06,1.3108722742484859e-05
bur_DAYS_CREDIT_ENDDATE_sum,-8.129684730873165e-06,5.873662054920809e-05
OBS_60_CNT_SOCIAL_CIRCLE,-8.129684730873165e-06,1.4990397959934995e-05
YEARS_BUILD_MEDI,-9.755621677032255e-06,1.0785245566418848e-05
inst_NUM_INSTALMENT_VERSION_mean,-9.755621677043358e-06,1.6581368432751707e-05
BASEMENTAREA_AVG,-9.755621677043358e-06,2.3223024660739946e-05
LIVINGAPARTMENTS_MODE,-1.1381558623191346e-05,7.450979131050245e-06
APARTMENTS_MEDI,-1.1381558623191346e-05,7.450979131050245e-06
bur_AMT_CREDIT_SUM_LIMIT_sum,-1.1381558623202448e-05,2.4171290420498745e-05
AMT_INCOME_TOTAL,-1.3007495569350436e-05,3.4720512014166504e-05
FLAG_DOCUMENT_18,-1.3007495569361537e-05,1.896152023430205e-05
NAME_TYPE_SUITE,-1.3007495569361537e-05,9.755621677021154e-06
WEEKDAY_APPR_PROCESS_START,-1.300749556937264e-05,1.2167397970106023e-05
AMT_REQ_CREDIT_BUREAU_QRT,-1.4633432515542833e-05,4.077829115321866e-05
LIVINGAPARTMENTS_AVG,-1.6259369461679717e-05,2.4116542240540765e-05
inst_NUM_INSTALMENT_NUMBER_sum,-1.6259369461701922e-05,2.816205400663746e-05
bur_DAYS_CREDIT_ENDDATE_mean,-1.6259369461701922e-05,2.7207128970443387e-05
YEARS_BUILD_AVG,-1.6259369461701922e-05,7.271411077529932e-06
LIVINGAREA_AVG,-1.6259369461701922e-05,2.816205400663746e-05
FLAG_DOCUMENT_16,-1.6259369461701922e-05,1.2594453429001001e-05
LANDAREA_AVG,-1.7885306407861014e-05,2.8581363236340704e-05
FLAG_WORK_PHONE,-1.7885306407872113e-05,2.11371803001698e-05
AMT_REQ_CREDIT_BUREAU_DAY,-1.7885306407872113e-05,1.1381558623191346e-05
bur_AMT_CREDIT_SUM_LIMIT_mean,-1.9511243354020102e-05,4.47058747861658e-05
FLAG_OWN_CAR,-1.9511243354031205e-05,1.2167397970106025e-05
inst_LATE_FLAG_mean,-2.1137180300201396e-05,8.877377490348121e-05
OCCUPATION_TYPE,-2.2763117246360487e-05,8.038116575978203e-05
YEARS_BEGINEXPLUATATION_AVG,-2.6014991138700872e-05,2.834917934762486e-05
inst_DAYS_INSTALMENT_sum,-2.764092808485996e-05,5.144234271354992e-05
inst_AMT_INSTALMENT_mean,-2.7640928084882166e-05,1.9306931510729064e-05
bur_AMT_CREDIT_SUM_DEBT_sum,-2.9266865031030154e-05,4.7570813906077484e-05
FLOORSMAX_AVG,-2.9266865031030154e-05,5.1826341643523e-05
bur_DAYS_ENDDATE_FACT_min,-3.089280197717814e-05,2.565685224796607e-05
TOTALAREA_MODE,-3.089280197717814e-05,3.595490364290704e-05
bur_DAYS_CREDIT_ENDDATE_min,-3.089280197721145e-05,2.6667348693345855e-05
FLAG_PHONE,-3.251873892337054e-05,2.0566656326821697e-05
bur_DAYS_CREDIT_sum,-3.251873892337054e-05,2.2994220808310984e-05
ENTRANCES_AVG,-3.5770612815677616e-05,3.235573669926546e-05
inst_AMT_DIFF_min,-3.577061281571092e-05,2.497811732068735e-05
inst_NUM_INSTALMENT_NUMBER_max,-3.739654976187001e-05,3.2559361973401676e-05
REGION_POPULATION_RELATIVE,-3.739654976187001e-05,2.725566982789035e-05
bur_DAYS_CREDIT_mean,-3.9022486708018e-05,7.422540175610973e-05
inst_AMT_DIFF_mean,-3.9022486708018e-05,4.37494887959114e-05
inst_DAYS_ENTRY_PAYMENT_min,-4.390029754649527e-05,7.309486299199784e-05
inst_DAYS_INSTALMENT_min,-4.390029754650637e-05,3.4910346736882055e-05
inst_NUM_INSTALMENT_VERSION_max,-4.390029754651748e-05,3.089280197713957e-05
inst_AMT_DIFF_sum,-4.877810838501695e-05,4.1771076463467316e-05
inst_PAYMENT_DELAY_sum,-5.040404533118714e-05,7.710782044047926e-05
inst_AMT_PAYMENT_max,-6.341154090048207e-05,8.013411723235233e-05
bur_AMT_CREDIT_SUM_min,-6.666341479282245e-05,4.847910350998637e-05
REG_CITY_NOT_LIVE_CITY,-7.47930995236512e-05,2.4334795940166055e-05
inst_AMT_INSTALMENT_sum,-8.780059509296833e-05,3.1861726976341076e-05
NAME_INCOME_TYPE,-8.942653203914963e-05,7.244091966227132e-05
inst_AMT_PAYMENT_min,-9.593027982380819e-05,6.562423319386435e-05
